filepath, filename, statement coverage %, total statements, branch coverage %, total branches
./src/bison-derives.gcda, 'src/derives.c', 7.89, 38, 14.29, 14
./src/bison-scan-code-c.gcda, 'src/scan-code.c', 6.43, 280, 1.33, 150
./src/bison-scan-code-c.gcda, '/Users/akim/src/gnu/bison/src/scan-code.l', 5.54, 289, 0.00, 239
./src/bison-scan-code-c.gcda, 'lib/c-ctype.h', 0.00, 3, 0.00, 6
./src/bison-scan-code-c.gcda, 'lib/xalloc.h', 0.00, 2, 0.00, 0.00
./src/bison-relation.gcda, 'src/relation.c', 0.00, 81, 0.00, 60
./src/bison-print-xml.gcda, 'src/print-xml.c', 0.00, 215, 0.00, 135
./src/bison-print-xml.gcda, 'lib/bitset.h', 0.00, 13, 0.00, 10
./src/bison-print-xml.gcda, 'src/gram.h', 0.00, 12, 0.00, 8
./src/bison-parse-gram.gcda, 'src/parse-gram.c', 41.19, 556, 80.61, 330
./src/bison-parse-gram.gcda, 'src/parse-gram.y', 8.92, 370, 9.03, 155
./src/bison-parse-gram.gcda, 'lib/c-ctype.h', 0.00, 12, 0.00, 20
./src/bison-parse-gram.gcda, 'src/location.h', 100.00, 9, 100.00, 6
./src/bison-ielr.gcda, 'src/ielr.c', 0.00, 466, 0.00, 309
./src/bison-ielr.gcda, 'lib/xalloc.h', 0.00, 2, 0.00, 0.00
./src/bison-ielr.gcda, 'src/gram.h', 0.00, 16, 0.00, 34
./src/bison-ielr.gcda, 'lib/bitset.h', 0.00, 13, 0.00, 10
./src/bison-files.gcda, 'src/files.c', 10.45, 220, 12.73, 110
./src/bison-files.gcda, 'lib/gl_list.h', 0.00, 12, 0.00, 0.00
./src/bison-files.gcda, 'lib/gl_map.h', 0.00, 12, 0.00, 2
./src/bison-files.gcda, 'lib/xalloc.h', 0.00, 2, 0.00, 0.00
./src/bison-files.gcda, 'lib/gl_xlist.h', 0.00, 6, 0.00, 2
./src/bison-conflicts.gcda, 'src/conflicts.c', 3.55, 197, 0.00, 145
./src/bison-conflicts.gcda, 'lib/bitset.h', 0.00, 20, 0.00, 8
./src/bison-scan-gram-c.gcda, '/Users/akim/src/gnu/bison/src/scan-gram.l', 71.49, 477, 63.20, 538
./src/bison-scan-gram-c.gcda, 'src/location.h', 0.00, 5, 0.00, 0.00
./src/bison-scan-gram-c.gcda, 'src/scan-gram.c', 63.14, 407, 77.33, 344
./src/bison-scan-gram-c.gcda, 'lib/c-ctype.h', 100.00, 4, 100.00, 4
./src/bison-gram.gcda, 'src/gram.c', 4.19, 167, 1.67, 120
./src/bison-gram.gcda, 'src/gram.h', 0.00, 10, 0.00, 6
./src/bison-tables.gcda, 'src/tables.c', 2.81, 320, 0.00, 236
./src/bison-tables.gcda, 'lib/bitset.h', 0.00, 20, 0.00, 8
./src/bison-tables.gcda, 'src/gram.h', 0.00, 4, 0.00, 4
./src/bison-tables.gcda, 'src/state.h', 0.00, 2, 0.00, 6
./src/bison-tables.gcda, 'lib/xalloc.h', 0.00, 2, 0.00, 0.00
./src/bison-lalr.gcda, 'src/lalr.c', 0.00, 293, 0.00, 216
./src/bison-lalr.gcda, 'src/gram.h', 0.00, 4, 0.00, 2
./src/bison-lalr.gcda, 'lib/bitset.h', 0.00, 7, 0.00, 2
./src/bison-state-item.gcda, 'src/state-item.c', 0.00, 309, 0.00, 210
./src/bison-state-item.gcda, 'src/gram.h', 0.00, 14, 0.00, 32
./src/bison-state-item.gcda, 'lib/gl_xlist.h', 0.00, 5, 0.00, 4
./src/bison-state-item.gcda, 'lib/gl_list.h', 0.00, 13, 0.00, 0.00
./src/bison-state-item.gcda, 'src/state-item.h', 0.00, 2, 0.00, 0.00
./src/bison-state-item.gcda, 'lib/bitset.h', 0.00, 14, 0.00, 4
./src/bison-closure.gcda, 'src/closure.c', 5.26, 95, 0.00, 64
./src/bison-closure.gcda, 'lib/bitset.h', 0.00, 13, 0.00, 4
./src/bison-closure.gcda, 'src/gram.h', 0.00, 2, 0.00, 0.00
./src/bison-derivation.gcda, 'src/derivation.c', 0.00, 210, 0.00, 98
./src/bison-derivation.gcda, 'lib/gl_list.h', 0.00, 24, 0.00, 4
./src/bison-derivation.gcda, 'src/system.h', 0.00, 2, 0.00, 0.00
./src/bison-derivation.gcda, 'lib/c-ctype.h', 0.00, 3, 0.00, 4
./src/bison-derivation.gcda, 'lib/gl_xlist.h', 0.00, 5, 0.00, 2
./src/bison-derivation.gcda, 'src/derivation.h', 0.00, 7, 0.00, 2
./src/bison-parse-simulation.gcda, 'src/parse-simulation.c', 0.00, 299, 0.00, 146
./src/bison-parse-simulation.gcda, 'src/gram.h', 0.00, 12, 0.00, 4
./src/bison-parse-simulation.gcda, 'src/derivation.h', 0.00, 4, 0.00, 0.00
./src/bison-parse-simulation.gcda, 'lib/gl_list.h', 0.00, 19, 0.00, 0.00
./src/bison-parse-simulation.gcda, 'lib/bitset.h', 0.00, 6, 0.00, 4
./src/bison-parse-simulation.gcda, 'lib/gl_xlist.h', 0.00, 6, 0.00, 10
./src/bison-parse-simulation.gcda, 'src/state-item.h', 0.00, 7, 0.00, 2
./src/bison-symtab.gcda, 'src/symtab.c', 19.81, 530, 11.76, 357
./src/bison-symtab.gcda, 'src/location.h', 0.00, 5, 0.00, 10
./src/bison-symtab.gcda, 'lib/xalloc.h', 0.00, 2, 0.00, 0.00
./src/bison-scan-skel-c.gcda, '/Users/akim/src/gnu/bison/src/scan-skel.l', 2.96, 135, 0.00, 134
./src/bison-scan-skel-c.gcda, 'src/scan-skel.c', 4.74, 380, 0.91, 219
./src/bison-print.gcda, 'src/print.c', 0.00, 203, 0.00, 184
./src/bison-print.gcda, 'src/gram.h', 0.00, 14, 0.00, 12
./src/bison-print.gcda, 'lib/bitset.h', 0.00, 13, 0.00, 10
./src/bison-print-graph.gcda, 'src/print-graph.c', 0.00, 77, 0.00, 118
./src/bison-print-graph.gcda, 'src/gram.h', 0.00, 10, 0.00, 4
./src/bison-symlist.gcda, 'src/symlist.c', 0.00, 102, 0.00, 67
./src/bison-Sbitset.gcda, 'src/Sbitset.c', 0.00, 31, 0.00, 28
./src/bison-fixits.gcda, 'src/location.h', 0.00, 5, 0.00, 2
./src/bison-fixits.gcda, 'src/fixits.c', 2.17, 92, 0.00, 72
./src/bison-fixits.gcda, 'lib/gl_list.h', 0.00, 14, 0.00, 0.00
./src/bison-fixits.gcda, 'lib/gl_xlist.h', 0.00, 6, 0.00, 2
./src/bison-nullable.gcda, 'src/nullable.c', 6.00, 50, 0.00, 32
./src/bison-muscle-tab.gcda, 'src/muscle-tab.c', 38.11, 328, 25.36, 418
./src/bison-reader.gcda, 'src/reader.c', 5.88, 408, 2.40, 250
./src/bison-reader.gcda, 'src/gram.h', 0.00, 4, 0.00, 4
./src/bison-location.gcda, 'src/location.c', 78.30, 235, 73.95, 215
./src/bison-location.gcda, 'src/system.h', 100.00, 4, 0.00, 0.00
./src/bison-location.gcda, 'lib/mbfile.h', 100.00, 4, 0.00, 0.00
./src/bison-main.gcda, 'src/main.c', 44.80, 125, 35.00, 40
./src/bison-uniqstr.gcda, 'src/uniqstr.c', 70.69, 58, 62.50, 16
./src/bison-lssi.gcda, 'src/lssi.c', 0.00, 153, 0.00, 140
./src/bison-lssi.gcda, 'lib/gl_xlist.h', 0.00, 11, 0.00, 10
./src/bison-lssi.gcda, 'lib/gl_list.h', 0.00, 20, 0.00, 0.00
./src/bison-lssi.gcda, 'src/gram.h', 0.00, 6, 0.00, 10
./src/bison-lssi.gcda, 'lib/bitset.h', 0.00, 13, 0.00, 16
./src/bison-InadequacyList.gcda, 'src/InadequacyList.c', 0.00, 30, 0.00, 12
./src/bison-InadequacyList.gcda, 'lib/bitset.h', 0.00, 6, 0.00, 2
./src/bison-state.gcda, 'src/state.c', 2.96, 169, 3.12, 64
./src/bison-state.gcda, 'lib/bitset.h', 0.00, 13, 0.00, 4
./src/bison-complain.gcda, 'src/complain.c', 57.85, 261, 73.33, 195
./src/bison-complain.gcda, 'lib/c-ctype.h', 100.00, 2, 100.00, 2
./src/bison-complain.gcda, 'lib/textstyle.h', 96.97, 33, 60.00, 20
./src/bison-strversion.gcda, 'src/strversion.c', 0.00, 23, 0.00, 32
./src/bison-lr0.gcda, 'src/lr0.c', 0.00, 127, 0.00, 62
./src/bison-lr0.gcda, 'src/gram.h', 0.00, 6, 0.00, 4
./src/bison-lr0.gcda, 'lib/bitset.h', 0.00, 7, 0.00, 2
./src/bison-reduce.gcda, 'src/reduce.c', 4.85, 165, 0.00, 146
./src/bison-reduce.gcda, 'lib/bitset.h', 0.00, 13, 0.00, 30
./src/bison-reduce.gcda, 'src/gram.h', 0.00, 4, 0.00, 0.00
./src/bison-counterexample.gcda, 'src/counterexample.c', 0.59, 507, 0.76, 262
./src/bison-counterexample.gcda, 'src/gram.h', 0.00, 14, 0.00, 32
