filepath, filename, statement coverage %, total statements, branch coverage %, total branches
./lib/getprogname.gcda, 'getprogname.c', 100.00, 2, 0.00, 0.00
./lib/cmpbuf.gcda, 'cmpbuf.c', 84.62, 26, 75.00, 24
./lib/xalloc-die.gcda, 'xalloc-die.c', 0.00, 3, 0.00, 0.00
./lib/trim.gcda, 'trim.c', 0.00, 41, 0.00, 60
./lib/c-stack.gcda, 'c-stack.c', 19.05, 42, 25.00, 16
./lib/mbchar.gcda, 'mbchar.h', 0.00, 15, 0.00, 6
./lib/striconv.gcda, 'striconv.c', 0.00, 140, 0.00, 68
./lib/hard-locale.gcda, 'hard-locale.c', 0.00, 4, 0.00, 6
./lib/c-strcasecmp.gcda, 'c-strcasecmp.c', 0.00, 14, 0.00, 10
./lib/c-strcasecmp.gcda, 'c-ctype.h', 0.00, 4, 0.00, 4
./lib/xstriconv.gcda, 'xstriconv.c', 0.00, 15, 0.00, 12
./lib/setlocale_null.gcda, 'setlocale_null.c', 0.00, 21, 0.00, 8
./lib/stackvma.gcda, 'stackvma.c', 51.82, 220, 63.33, 120
./lib/strnlen1.gcda, 'strnlen1.c', 0.00, 4, 0.00, 2
./lib/mbrtowc.gcda, 'wchar.h', 0.00, 1, 0.00, 2
./lib/mbrtowc.gcda, 'mbrtowc.c', 0.00, 9, 0.00, 6
./lib/propername.gcda, 'propername.c', 0.00, 114, 0.00, 94
./lib/fcntl.gcda, 'fcntl.c', 23.53, 51, 27.27, 22
./lib/mbslen.gcda, 'string.h', 0.00, 1, 0.00, 0.00
./lib/mbslen.gcda, 'mbslen.c', 0.00, 8, 0.00, 6
./lib/version-etc.gcda, 'version-etc.c', 0.00, 58, 0.00, 23
./lib/progname.gcda, 'progname.c', 62.50, 16, 60.00, 10
./lib/malloca.gcda, 'malloca.c', 0.00, 19, 0.00, 8
./lib/mbsstr.gcda, 'string.h', 0.00, 1, 0.00, 0.00
./lib/mbsstr.gcda, 'mbsstr.c', 0.00, 137, 0.00, 134
./lib/mbsstr.gcda, 'str-kmp.h', 0.00, 39, 0.00, 20
./lib/localcharset.gcda, 'localcharset.c', 0.00, 8, 0.00, 4
./lib/offtostr.gcda, 'anytostr.c', 66.67, 12, 66.67, 6
./lib/free.gcda, 'stdlib.h', 0.00, 1, 0.00, 0.00
./lib/free.gcda, 'free.c', 0.00, 7, 0.00, 0.00
./lib/xstdopen.gcda, 'xstdopen.c', 80.00, 5, 100.00, 2
./lib/stdopen.gcda, 'stdopen.c', 33.33, 12, 28.57, 14
./lib/xmalloc.gcda, 'xmalloc.c', 5.19, 77, 2.63, 76
./lib/xmalloc.gcda, 'ialloc.h', 0.00, 13, 0.00, 14
./lib/xmalloc.gcda, 'xalloc.h', 0.00, 6, 0.00, 2
./lib/sigsegv.gcda, 'sigsegv.c', 51.52, 99, 26.32, 38
./lib/xstrtoimax.gcda, 'xstrtol.c', 0.00, 64, 0.00, 106
./src/cmp.gcda, 'cmp.c', 36.61, 295, 40.93, 237
directory, /home/ubuntu/configuration-fuzzer/afl-targets/diffutils
total_no_of_statements, 1604
total_statement_coverage_%, 16.18%
total_no_of_branches, 1160
total_branch_coverage_%, 13.57%
