filepath, filename, statement coverage %, total statements, branch coverage %, total branches
./lib/.libs/libcommon_la-strutils.gcda, 'lib/strutils.c', 0.00, 549, 0.00, 546
./lib/.libs/libcommon_la-strutils.gcda, 'include/strutils.h', 0.00, 6, 0.00, 4
./text-utils/col.gcda, 'text-utils/col.c', 84.50, 329, 90.66, 182
./text-utils/col.gcda, 'include/closestream.h', 55.00, 20, 70.00, 20
./text-utils/col.gcda, 'include/xalloc.h', 86.67, 15, 75.00, 8
./text-utils/col.gcda, 'include/optutils.h', 0.00, 28, 0.00, 28
./text-utils/col.gcda, 'include/cctype.h', 0.00, 2, 0.00, 2
directory, /home/ubuntu/configuration-fuzzer/afl-targets/util-linux
total_no_of_statements, 949
total_statement_coverage_%, 32.31%
total_no_of_branches, 790
total_branch_coverage_%, 33.67%
