filepath, filename, statement coverage %, total statements, branch coverage %, total branches
./bfd/linker.gcda, 'linker.c', 0.00, 1217, 0.00, 830
./bfd/linker.gcda, 'bfd.h', 0.00, 38, 0.00, 89
./bfd/elf64.gcda, 'elfcode.h', 53.66, 833, 66.37, 553
./bfd/elf64.gcda, 'elfcore.h', 0.00, 183, 0.00, 160
./bfd/elf64.gcda, 'bfd.h', 25.00, 16, 20.00, 20
./bfd/elf64.gcda, 'libbfd.h', 72.73, 11, 100.00, 8
./bfd/pe-x86_64.gcda, 'coffcode.h', 0.41, 982, 1.31, 610
./bfd/pe-x86_64.gcda, 'bfd.h', 0.00, 25, 0.00, 39
./bfd/pe-x86_64.gcda, 'peicode.h', 10.62, 113, 10.00, 40
./bfd/pe-x86_64.gcda, 'coff-x86_64.c', 0.00, 140, 0.00, 96
./bfd/pe-x86_64.gcda, 'libbfd.h', 0.00, 11, 0.00, 8
./bfd/pe-x86_64.gcda, 'pe-x86_64.c', 0.00, 10, 0.00, 6
./bfd/format.gcda, 'format.c', 57.92, 221, 51.39, 144
./bfd/format.gcda, 'bfd.h', 0.00, 2, 0.00, 2
./bfd/init.gcda, 'init.c', 100.00, 2, 0.00, 0.00
./bfd/peigen.gcda, 'peXXigen.c', 0.00, 1917, 0.00, 984
./bfd/peigen.gcda, 'bfd.h', 0.00, 8, 0.00, 8
./bfd/dwarf1.gcda, 'dwarf1.c', 0.00, 149, 0.00, 100
./bfd/compress.gcda, 'compress.c', 18.65, 252, 19.23, 156
./bfd/compress.gcda, 'bfd.h', 22.22, 9, 0.00, 6
./bfd/elf-ifunc.gcda, 'elf-ifunc.c', 0.00, 136, 0.00, 124
./bfd/elf-ifunc.gcda, 'elf-bfd.h', 0.00, 2, 0.00, 4
./bfd/elf-ifunc.gcda, 'bfd.h', 0.00, 3, 0.00, 4
./bfd/merge.gcda, 'merge.c', 0.00, 338, 0.00, 222
./bfd/targets.gcda, 'targets.c', 9.84, 122, 7.55, 106
./bfd/stabs.gcda, 'stabs.c', 0.00, 327, 0.00, 194
./bfd/stabs.gcda, 'bfd.h', 0.00, 2, 0.00, 8
./bfd/elf32-gen.gcda, 'elf32-gen.c', 0.00, 20, 0.00, 4
./bfd/bfd.gcda, 'bfd.c', 8.55, 643, 8.79, 387
./bfd/bfd.gcda, 'bfd.h', 8.00, 25, 13.64, 44
./bfd/pei-i386.gcda, 'coffcode.h', 0.00, 988, 0.00, 650
./bfd/pei-i386.gcda, 'bfd.h', 0.00, 36, 0.00, 42
./bfd/pei-i386.gcda, 'peicode.h', 3.25, 523, 5.77, 208
./bfd/pei-i386.gcda, 'coff-i386.c', 0.00, 106, 0.00, 85
./bfd/pei-i386.gcda, 'libbfd.h', 0.00, 11, 0.00, 8
./bfd/binary.gcda, 'binary.c', 0.00, 102, 0.00, 46
./bfd/binary.gcda, 'bfd.h', 0.00, 2, 0.00, 0.00
./bfd/section.gcda, 'section.c', 31.91, 235, 28.77, 146
./bfd/section.gcda, 'bfd.h', 80.00, 10, 50.00, 4
./bfd/srec.gcda, 'srec.c', 4.15, 554, 5.23, 306
./bfd/srec.gcda, 'bfd.h', 0.00, 8, 0.00, 4
./bfd/elf-strtab.gcda, 'elf-strtab.c', 0.00, 193, 0.00, 118
