filepath, filename, statement coverage %, total statements, branch coverage %, total branches
./src/join.gcda, 'src/join.c', 46.62, 459, 54.82, 301
./src/join.gcda, 'src/system.h', 11.76, 17, 25.00, 16
./lib/xstrtoumax.gcda, 'lib/xstrtol.c', 0.00, 69, 0.00, 88
./lib/hard-locale.gcda, 'lib/hard-locale.c', 100.00, 4, 100.00, 6
./lib/fadvise.gcda, 'lib/fadvise.c', 85.71, 7, 100.00, 2
./lib/free.gcda, 'lib/stdlib.h', 100.00, 1, 0.00, 0.00
./lib/free.gcda, 'lib/free.c', 100.00, 7, 0.00, 0.00
./lib/memcasecmp.gcda, 'lib/memcasecmp.c', 0.00, 12, 0.00, 4
./lib/setlocale_null.gcda, 'lib/setlocale_null.c', 57.14, 21, 50.00, 8
./lib/quotearg.gcda, 'lib/quotearg.c', 0.00, 387, 0.00, 322
./lib/quotearg.gcda, 'lib/c-strcaseeq.h', 0.00, 38, 0.00, 56
./lib/quotearg.gcda, 'lib/c-ctype.h', 0.00, 3, 0.00, 20
./lib/fflush.gcda, 'lib/stdio.h', 100.00, 1, 100.00, 2
./lib/fflush.gcda, 'lib/fflush.c', 85.71, 7, 100.00, 6
./lib/xmalloc.gcda, 'lib/xmalloc.c', 50.62, 81, 31.58, 76
./lib/xmalloc.gcda, 'lib/ialloc.h', 0.00, 13, 0.00, 14
./lib/xmalloc.gcda, 'lib/xalloc.h', 0.00, 2, 0.00, 0.00
./lib/localcharset.gcda, 'lib/localcharset.c', 0.00, 8, 0.00, 4
./lib/close-stream.gcda, 'lib/close-stream.c', 62.50, 8, 40.00, 10
./lib/fopen-safer.gcda, 'lib/fopen-safer.c', 29.41, 17, 40.00, 10
./lib/xmemcoll.gcda, 'lib/xmemcoll.c', 27.78, 18, 50.00, 4
./lib/version-etc.gcda, 'lib/version-etc.c', 0.00, 58, 0.00, 23
./lib/fclose.gcda, 'lib/stdio.h', 100.00, 1, 0.00, 0.00
./lib/fclose.gcda, 'lib/fclose.c', 69.23, 13, 100.00, 10
./lib/progname.gcda, 'lib/progname.c', 62.50, 16, 60.00, 10
./lib/xstrtoul.gcda, 'lib/xstrtol.c', 0.00, 69, 0.00, 88
./lib/linebuffer.gcda, 'lib/linebuffer.c', 73.33, 30, 100.00, 16
./lib/fcntl.gcda, 'lib/fcntl.c', 0.00, 51, 0.00, 22
./lib/dup-safer.gcda, 'lib/dup-safer.c', 0.00, 2, 0.00, 0.00
./lib/mbrtowc.gcda, 'lib/wchar.h', 0.00, 1, 0.00, 2
./lib/mbrtowc.gcda, 'lib/mbrtowc.c', 0.00, 9, 0.00, 6
./lib/closeout.gcda, 'lib/closeout.c', 23.53, 17, 40.00, 10
./lib/memcoll.gcda, 'lib/memcoll.c', 83.33, 30, 71.43, 14
./lib/xalloc-die.gcda, 'lib/xalloc-die.c', 0.00, 3, 0.00, 0.00
./lib/fseeko.gcda, 'lib/fseeko.c', 0.00, 10, 0.00, 8
directory, /home/ubuntu/configuration-fuzzer/afl-targets/coreutils
total_no_of_statements, 1490
total_statement_coverage_%, 36.26%
total_no_of_branches, 1158
total_branch_coverage_%, 30.37%
