filepath, filename, statement coverage %, total statements, branch coverage %, total branches
./lib/dup-safer.gcda, 'dup-safer.c', 0.00, 2, 0.00, 0.00
./lib/trim.gcda, 'trim.c', 0.00, 41, 0.00, 60
./lib/xalloc-die.gcda, 'xalloc-die.c', 0.00, 3, 0.00, 0.00
./lib/spawn-pipe.gcda, 'spawn-pipe.c', 0.00, 134, 0.00, 116
./lib/malloca.gcda, 'malloca.c', 0.00, 19, 0.00, 8
./lib/fseeko.gcda, 'fseeko.c', 0.00, 10, 0.00, 8
./lib/xmalloca.gcda, 'xmalloca.c', 0.00, 6, 0.00, 2
./lib/pipe-safer.gcda, 'pipe-safer.c', 0.00, 9, 0.00, 6
./lib/vasnprintf.gcda, 'vasnprintf.c', 36.61, 254, 49.12, 283
./lib/vasnprintf.gcda, 'xsize.h', 71.43, 7, 60.00, 30
./lib/clean-temp.gcda, 'clean-temp.c', 0.00, 312, 0.00, 96
./lib/clean-temp.gcda, 'gl_list.h', 0.00, 21, 0.00, 0.00
./lib/clean-temp.gcda, 'gl_xlist.h', 0.00, 6, 0.00, 6
./lib/clean-temp.gcda, 'xalloc.h', 0.00, 2, 0.00, 0.00
./lib/progname.gcda, 'progname.c', 62.50, 16, 60.00, 10
./lib/filenamecat-lgpl.gcda, 'filenamecat-lgpl.c', 0.00, 22, 0.00, 14
./lib/version-etc.gcda, 'version-etc.c', 0.00, 58, 0.00, 23
./lib/obstack.gcda, 'obstack.c', 69.70, 99, 76.19, 42
./lib/c-strcasecmp.gcda, 'c-strcasecmp.c', 0.00, 14, 0.00, 10
./lib/c-strcasecmp.gcda, 'c-ctype.h', 0.00, 4, 0.00, 4
./lib/asyncsafe-spin.gcda, 'asyncsafe-spin.c', 0.00, 22, 0.00, 4
./lib/canonicalize.gcda, 'canonicalize.c', 0.00, 165, 0.00, 146
./lib/canonicalize.gcda, 'malloc/scratch_buffer.h', 0.00, 13, 0.00, 18
./lib/sigsegv.gcda, 'sigsegv.c', 51.52, 99, 26.32, 38
./lib/xmalloc.gcda, 'xmalloc.c', 23.53, 51, 14.29, 42
./lib/xmalloc.gcda, 'xalloc.h', 0.00, 18, 0.00, 8
./lib/mkstemp-safer.gcda, 'mkstemp-safer.c', 0.00, 2, 0.00, 0.00
./lib/fclose.gcda, 'stdio.h', 100.00, 1, 0.00, 0.00
./lib/fclose.gcda, 'fclose.c', 69.23, 13, 100.00, 10
./lib/tmpdir.gcda, 'tmpdir.c', 0.00, 27, 0.00, 28
./lib/hash-triple-simple.gcda, 'hash-triple-simple.c', 0.00, 13, 0.00, 6
