filepath, filename, statement coverage %, total statements, branch coverage %, total branches
./src/wc.gcda, 'src/wc.c', 47.89, 426, 55.41, 296
./src/wc.gcda, 'lib/xbinary-io.h', 0.00, 2, 0.00, 0.00
./src/wc.gcda, 'lib/binary-io.h', 0.00, 4, 0.00, 0.00
./src/wc.gcda, 'src/system.h', 4.55, 22, 18.18, 22
./src/wc.gcda, 'lib/mbchar.h', 100.00, 3, 100.00, 2
./src/libwc_avx2_a-wc_avx2.gcda, 'src/wc_avx2.c', 0.00, 51, 0.00, 10
./lib/hard-locale.gcda, 'lib/hard-locale.c', 100.00, 4, 100.00, 6
./lib/fadvise.gcda, 'lib/fadvise.c', 28.57, 7, 0.00, 2
./lib/obstack.gcda, 'lib/obstack.c', 0.00, 99, 0.00, 42
./lib/umaxtostr.gcda, 'lib/anytostr.c', 100.00, 8, 100.00, 2
./lib/free.gcda, 'lib/stdlib.h', 100.00, 1, 0.00, 0.00
./lib/free.gcda, 'lib/free.c', 100.00, 7, 0.00, 0.00
./lib/setlocale_null.gcda, 'lib/setlocale_null.c', 57.14, 21, 50.00, 8
./lib/quotearg.gcda, 'lib/quotearg.c', 0.00, 387, 0.00, 322
./lib/quotearg.gcda, 'lib/c-strcaseeq.h', 0.00, 38, 0.00, 56
./lib/quotearg.gcda, 'lib/c-ctype.h', 0.00, 3, 0.00, 20
./lib/fflush.gcda, 'lib/stdio.h', 100.00, 1, 100.00, 2
./lib/fflush.gcda, 'lib/fflush.c', 28.57, 7, 66.67, 6
./lib/xmalloc.gcda, 'lib/xmalloc.c', 6.17, 81, 2.63, 76
./lib/xmalloc.gcda, 'lib/ialloc.h', 0.00, 13, 0.00, 14
./lib/xmalloc.gcda, 'lib/xalloc.h', 0.00, 2, 0.00, 0.00
./lib/localcharset.gcda, 'lib/localcharset.c', 0.00, 8, 0.00, 4
./lib/close-stream.gcda, 'lib/close-stream.c', 62.50, 8, 40.00, 10
./lib/version-etc.gcda, 'lib/version-etc.c', 0.00, 58, 0.00, 23
./lib/fclose.gcda, 'lib/stdio.h', 100.00, 1, 0.00, 0.00
./lib/fclose.gcda, 'lib/fclose.c', 69.23, 13, 80.00, 10
./lib/progname.gcda, 'lib/progname.c', 62.50, 16, 60.00, 10
./lib/readtokens0.gcda, 'lib/readtokens0.c', 0.00, 36, 0.00, 28
./lib/mbchar.gcda, 'lib/mbchar.h', 0.00, 15, 0.00, 6
./lib/argv-iter.gcda, 'lib/argv-iter.c', 54.05, 37, 62.50, 16
./lib/mbrtowc.gcda, 'lib/wchar.h', 100.00, 1, 100.00, 2
./lib/mbrtowc.gcda, 'lib/mbrtowc.c', 55.56, 9, 100.00, 6
./lib/physmem.gcda, 'lib/physmem.c', 0.00, 18, 0.00, 12
./lib/closeout.gcda, 'lib/closeout.c', 23.53, 17, 40.00, 10
./lib/safe-read.gcda, 'lib/safe-read.c', 55.56, 9, 40.00, 10
./lib/xalloc-die.gcda, 'lib/xalloc-die.c', 0.00, 3, 0.00, 0.00
./lib/fseeko.gcda, 'lib/fseeko.c', 0.00, 10, 0.00, 8
directory, /home/ubuntu/configuration-fuzzer/afl-targets/coreutils
total_no_of_statements, 1446
total_statement_coverage_%, 36.64%
total_no_of_branches, 1041
total_branch_coverage_%, 30.15%
