filepath, filename, statement coverage %, total statements, branch coverage %, total branches
./src/bison-derives.gcda, 'src/derives.c', 71.05, 38, 71.43, 14
./src/bison-scan-code-c.gcda, 'src/scan-code.c', 41.43, 280, 38.67, 150
./src/bison-scan-code-c.gcda, '/Users/akim/src/gnu/bison/src/scan-code.l', 33.56, 289, 26.36, 239
./src/bison-scan-code-c.gcda, 'lib/c-ctype.h', 66.67, 3, 33.33, 6
./src/bison-scan-code-c.gcda, 'lib/xalloc.h', 0.00, 2, 0.00, 0.00
./src/bison-relation.gcda, 'src/relation.c', 71.60, 81, 66.67, 60
./src/bison-print-xml.gcda, 'src/print-xml.c', 0.00, 215, 0.00, 135
./src/bison-print-xml.gcda, 'lib/bitset.h', 0.00, 13, 0.00, 10
./src/bison-print-xml.gcda, 'src/gram.h', 0.00, 12, 0.00, 8
./src/bison-parse-gram.gcda, 'src/parse-gram.c', 60.79, 556, 86.67, 330
./src/bison-parse-gram.gcda, 'src/parse-gram.y', 27.03, 370, 19.35, 155
./src/bison-parse-gram.gcda, 'lib/c-ctype.h', 0.00, 12, 0.00, 20
./src/bison-parse-gram.gcda, 'src/location.h', 100.00, 9, 100.00, 6
./src/bison-ielr.gcda, 'src/ielr.c', 3.43, 466, 2.91, 309
./src/bison-ielr.gcda, 'lib/xalloc.h', 0.00, 2, 0.00, 0.00
./src/bison-ielr.gcda, 'src/gram.h', 0.00, 16, 0.00, 34
./src/bison-ielr.gcda, 'lib/bitset.h', 0.00, 13, 0.00, 10
./src/bison-files.gcda, 'src/files.c', 61.36, 220, 80.00, 110
./src/bison-files.gcda, 'lib/gl_list.h', 0.00, 12, 0.00, 0.00
./src/bison-files.gcda, 'lib/gl_map.h', 0.00, 12, 0.00, 2
./src/bison-files.gcda, 'lib/xalloc.h', 100.00, 2, 0.00, 0.00
./src/bison-files.gcda, 'lib/gl_xlist.h', 0.00, 6, 0.00, 2
./src/bison-conflicts.gcda, 'src/conflicts.c', 55.84, 197, 69.66, 145
./src/bison-conflicts.gcda, 'lib/bitset.h', 85.00, 20, 100.00, 8
./src/bison-scan-gram-c.gcda, '/Users/akim/src/gnu/bison/src/scan-gram.l', 73.38, 477, 67.66, 538
./src/bison-scan-gram-c.gcda, 'src/location.h', 0.00, 5, 0.00, 0.00
./src/bison-scan-gram-c.gcda, 'src/scan-gram.c', 67.57, 407, 81.40, 344
./src/bison-scan-gram-c.gcda, 'lib/c-ctype.h', 100.00, 4, 100.00, 4
./src/bison-gram.gcda, 'src/gram.c', 44.31, 167, 43.33, 120
./src/bison-gram.gcda, 'src/gram.h', 90.00, 10, 66.67, 6
./src/bison-tables.gcda, 'src/tables.c', 86.25, 320, 88.98, 236
./src/bison-tables.gcda, 'lib/bitset.h', 55.00, 20, 50.00, 8
./src/bison-tables.gcda, 'src/gram.h', 50.00, 4, 100.00, 4
./src/bison-tables.gcda, 'src/state.h', 100.00, 2, 100.00, 6
./src/bison-tables.gcda, 'lib/xalloc.h', 0.00, 2, 0.00, 0.00
./src/bison-lalr.gcda, 'src/lalr.c', 65.87, 293, 66.67, 216
./src/bison-lalr.gcda, 'src/gram.h', 100.00, 4, 100.00, 2
./src/bison-lalr.gcda, 'lib/bitset.h', 85.71, 7, 100.00, 2
./src/bison-state-item.gcda, 'src/state-item.c', 0.00, 309, 0.00, 210
./src/bison-state-item.gcda, 'src/gram.h', 0.00, 14, 0.00, 32
./src/bison-state-item.gcda, 'lib/gl_xlist.h', 0.00, 5, 0.00, 4
./src/bison-state-item.gcda, 'lib/gl_list.h', 0.00, 13, 0.00, 0.00
./src/bison-state-item.gcda, 'src/state-item.h', 0.00, 2, 0.00, 0.00
./src/bison-state-item.gcda, 'lib/bitset.h', 0.00, 14, 0.00, 4
./src/bison-closure.gcda, 'src/closure.c', 60.00, 95, 68.75, 64
./src/bison-closure.gcda, 'lib/bitset.h', 84.62, 13, 100.00, 4
./src/bison-closure.gcda, 'src/gram.h', 0.00, 2, 0.00, 0.00
./src/bison-derivation.gcda, 'src/derivation.c', 0.00, 210, 0.00, 98
./src/bison-derivation.gcda, 'lib/gl_list.h', 0.00, 24, 0.00, 4
./src/bison-derivation.gcda, 'src/system.h', 0.00, 2, 0.00, 0.00
./src/bison-derivation.gcda, 'lib/c-ctype.h', 0.00, 3, 0.00, 4
./src/bison-derivation.gcda, 'lib/gl_xlist.h', 0.00, 5, 0.00, 2
./src/bison-derivation.gcda, 'src/derivation.h', 0.00, 7, 0.00, 2
./src/bison-parse-simulation.gcda, 'src/parse-simulation.c', 0.00, 299, 0.00, 146
./src/bison-parse-simulation.gcda, 'src/gram.h', 0.00, 12, 0.00, 4
./src/bison-parse-simulation.gcda, 'src/derivation.h', 0.00, 4, 0.00, 0.00
./src/bison-parse-simulation.gcda, 'lib/gl_list.h', 0.00, 19, 0.00, 0.00
./src/bison-parse-simulation.gcda, 'lib/bitset.h', 0.00, 6, 0.00, 4
./src/bison-parse-simulation.gcda, 'lib/gl_xlist.h', 0.00, 6, 0.00, 10
./src/bison-parse-simulation.gcda, 'src/state-item.h', 0.00, 7, 0.00, 2
./src/bison-symtab.gcda, 'src/symtab.c', 62.08, 530, 62.46, 357
./src/bison-symtab.gcda, 'src/location.h', 80.00, 5, 20.00, 10
./src/bison-symtab.gcda, 'lib/xalloc.h', 100.00, 2, 0.00, 0.00
./src/bison-scan-skel-c.gcda, '/Users/akim/src/gnu/bison/src/scan-skel.l', 71.11, 135, 56.72, 134
