filepath, filename, statement coverage %, total statements, branch coverage %, total branches
./lib/.libs/libcommon_la-strutils.gcda, 'lib/strutils.c', 3.10, 549, 3.66, 546
./lib/.libs/libcommon_la-strutils.gcda, 'include/strutils.h', 0.00, 6, 0.00, 4
./text-utils/col.gcda, 'text-utils/col.c', 92.71, 329, 100.00, 182
./text-utils/col.gcda, 'include/closestream.h', 55.00, 20, 70.00, 20
./text-utils/col.gcda, 'include/xalloc.h', 80.00, 15, 75.00, 8
./text-utils/col.gcda, 'include/optutils.h', 96.43, 28, 92.86, 28
./text-utils/col.gcda, 'include/cctype.h', 0.00, 2, 0.00, 2
directory, /home/ubuntu/configuration-fuzzer/afl-targets/util-linux
total_no_of_statements, 949
total_statement_coverage_%, 46.75%
total_no_of_branches, 790
total_branch_coverage_%, 48.79%
