filepath, filename, statement coverage %, total statements, branch coverage %, total branches
./dc/numeric.gcda, 'numeric.c', 94.02, 234, 84.21, 76
./dc/array.gcda, 'array.c', 79.07, 43, 85.71, 28
./dc/eval.gcda, 'eval.c', 92.74, 427, 99.31, 290
./dc/string.gcda, 'string.c', 98.41, 63, 100.00, 18
./dc/dc.gcda, 'dc.c', 57.61, 92, 91.49, 47
./dc/stack.gcda, 'stack.c', 95.00, 240, 100.00, 108
./dc/misc.gcda, 'misc.c', 76.00, 50, 90.00, 20
./lib/number.gcda, 'number.c', 88.85, 771, 86.76, 544
directory, /home/ubuntu/configuration-fuzzer/afl-targets/bc
total_no_of_statements, 1920
total_statement_coverage_%, 85.21%
total_no_of_branches, 1131
total_branch_coverage_%, 92.19%
