filepath, filename, statement coverage %, total statements, branch coverage %, total branches
./src/nl.gcda, 'src/nl.c', 73.82, 233, 81.95, 133
./src/nl.gcda, 'src/system.h', 0.00, 21, 0.00, 12
./lib/xstrtoimax.gcda, 'lib/xstrtol.c', 25.00, 64, 11.32, 106
./lib/hard-locale.gcda, 'lib/hard-locale.c', 0.00, 4, 0.00, 6
./lib/fadvise.gcda, 'lib/fadvise.c', 85.71, 7, 100.00, 2
./lib/free.gcda, 'lib/stdlib.h', 100.00, 1, 0.00, 0.00
./lib/free.gcda, 'lib/free.c', 100.00, 7, 0.00, 0.00
./lib/setlocale_null.gcda, 'lib/setlocale_null.c', 0.00, 21, 0.00, 8
./lib/quotearg.gcda, 'lib/quotearg.c', 20.93, 387, 27.64, 322
./lib/quotearg.gcda, 'lib/c-strcaseeq.h', 60.53, 38, 60.71, 56
./lib/quotearg.gcda, 'lib/c-ctype.h', 100.00, 3, 60.00, 20
./lib/fflush.gcda, 'lib/stdio.h', 100.00, 1, 100.00, 2
./lib/fflush.gcda, 'lib/fflush.c', 85.71, 7, 100.00, 6
./lib/regex.gcda, 'lib/regexec.c', 22.30, 1520, 24.68, 1268
./lib/regex.gcda, 'lib/regex_internal.h', 80.00, 35, 62.50, 48
./lib/regex.gcda, 'lib/regcomp.c', 59.53, 1369, 68.43, 1020
./lib/regex.gcda, 'lib/regex_internal.c', 36.47, 817, 33.44, 628
./lib/regex.gcda, 'lib/malloc/dynarray-skeleton.c', 0.00, 34, 0.00, 18
./lib/regex.gcda, 'lib/malloc/dynarray.h', 0.00, 2, 0.00, 0.00
./lib/xmalloc.gcda, 'lib/xmalloc.c', 32.10, 81, 21.05, 76
./lib/xmalloc.gcda, 'lib/ialloc.h', 0.00, 13, 0.00, 14
./lib/xmalloc.gcda, 'lib/xalloc.h', 0.00, 2, 0.00, 0.00
./lib/localcharset.gcda, 'lib/localcharset.c', 75.00, 8, 100.00, 4
./lib/close-stream.gcda, 'lib/close-stream.c', 62.50, 8, 40.00, 10
./lib/version-etc.gcda, 'lib/version-etc.c', 0.00, 58, 0.00, 23
./lib/fclose.gcda, 'lib/stdio.h', 100.00, 1, 0.00, 0.00
./lib/fclose.gcda, 'lib/fclose.c', 69.23, 13, 100.00, 10
./lib/progname.gcda, 'lib/progname.c', 62.50, 16, 80.00, 10
./lib/linebuffer.gcda, 'lib/linebuffer.c', 90.00, 30, 100.00, 16
./lib/mbrtowc.gcda, 'lib/wchar.h', 100.00, 1, 100.00, 2
./lib/mbrtowc.gcda, 'lib/mbrtowc.c', 55.56, 9, 66.67, 6
./lib/closeout.gcda, 'lib/closeout.c', 23.53, 17, 40.00, 10
./lib/xalloc-die.gcda, 'lib/xalloc-die.c', 0.00, 3, 0.00, 0.00
./lib/fseeko.gcda, 'lib/fseeko.c', 0.00, 10, 0.00, 8
./lib/xdectoimax.gcda, 'lib/xdectoint.c', 66.67, 21, 70.00, 20
./lib/malloc/dynarray_resize.gcda, 'lib/malloc/dynarray_resize.c', 0.00, 19, 0.00, 12
directory, /home/ubuntu/configuration-fuzzer/afl-targets/coreutils
total_no_of_statements, 4881
total_statement_coverage_%, 46.86%
total_no_of_branches, 3876
total_branch_coverage_%, 40.23%
