filepath, filename, statement coverage %, total statements, branch coverage %, total branches
./libiberty/unlink-if-ordinary.gcda, 'unlink-if-ordinary.c', 0.00, 5, 0.00, 4
./libiberty/argv.gcda, 'argv.c', 10.43, 163, 3.77, 106
./libiberty/concat.gcda, 'concat.c', 62.07, 58, 80.00, 10
./libiberty/cp-demangle.gcda, 'cp-demangle.c', 0.00, 2352, 0.00, 1647
./libiberty/getpwd.gcda, 'getpwd.c', 0.00, 22, 0.00, 22
./libiberty/hashtab.gcda, 'hashtab.c', 0.00, 339, 0.00, 162
./libiberty/rust-demangle.gcda, 'rust-demangle.c', 0.00, 729, 0.00, 708
./libiberty/lrealpath.gcda, 'lrealpath.c', 83.33, 6, 100.00, 2
./libiberty/make-relative-prefix.gcda, 'make-relative-prefix.c', 62.14, 140, 68.09, 94
./libiberty/make-temp-file.gcda, 'make-temp-file.c', 0.00, 52, 0.00, 40
./libiberty/lbasename.gcda, 'lbasename.c', 50.00, 16, 25.00, 16
./libiberty/xmalloc.gcda, 'xmalloc.c', 29.73, 37, 25.00, 16
./libiberty/filename_cmp.gcda, 'filename_cmp.c', 0.00, 23, 0.00, 4
./libiberty/xexit.gcda, 'xexit.c', 0.00, 4, 0.00, 2
./libiberty/objalloc.gcda, 'objalloc.c', 66.67, 96, 69.57, 46
./libiberty/xstrdup.gcda, 'xstrdup.c', 0.00, 4, 0.00, 0.00
./libiberty/cplus-dem.gcda, 'cplus-dem.c', 7.10, 155, 5.71, 140
./libiberty/d-demangle.gcda, 'd-demangle.c', 0.00, 915, 0.00, 532
./libiberty/hex.gcda, 'hex.c', 100.00, 2, 0.00, 0.00
./libiberty/xstrerror.gcda, 'xstrerror.c', 0.00, 7, 0.00, 2
./bfd/srec.gcda, 'srec.c', 4.15, 554, 5.23, 306
./bfd/srec.gcda, 'bfd.h', 0.00, 8, 0.00, 4
./bfd/targets.gcda, 'targets.c', 41.80, 122, 39.62, 106
./bfd/elf-vxworks.gcda, 'elf-vxworks.c', 0.00, 121, 0.00, 86
./bfd/elf-vxworks.gcda, 'elf-bfd.h', 0.00, 2, 0.00, 2
./bfd/elf-vxworks.gcda, 'bfd.h', 0.00, 7, 0.00, 2
./bfd/linker.gcda, 'linker.c', 0.00, 1217, 0.00, 830
./bfd/linker.gcda, 'bfd.h', 0.00, 38, 0.00, 89
./bfd/pex64igen.gcda, 'peXXigen.c', 0.00, 1923, 0.00, 994
./bfd/pex64igen.gcda, 'bfd.h', 0.00, 8, 0.00, 8
./bfd/ihex.gcda, 'ihex.c', 4.72, 339, 4.73, 169
./bfd/ihex.gcda, 'bfd.h', 0.00, 2, 0.00, 0.00
./bfd/elf-properties.gcda, 'elf-properties.c', 11.89, 328, 14.15, 212
./bfd/elf-properties.gcda, 'bfd.h', 28.57, 7, 20.00, 10
./bfd/format.gcda, 'format.c', 58.37, 221, 55.56, 144
./bfd/format.gcda, 'bfd.h', 0.00, 2, 0.00, 2
./bfd/section.gcda, 'section.c', 35.74, 235, 36.99, 146
./bfd/section.gcda, 'bfd.h', 80.00, 10, 50.00, 4
./bfd/peigen.gcda, 'peXXigen.c', 0.00, 1917, 0.00, 984
./bfd/peigen.gcda, 'bfd.h', 0.00, 8, 0.00, 8
./bfd/dwarf1.gcda, 'dwarf1.c', 0.00, 149, 0.00, 100
./bfd/elf64.gcda, 'elfcode.h', 33.85, 833, 43.76, 553
./bfd/elf64.gcda, 'elfcore.h', 0.00, 183, 0.00, 160
./bfd/elf64.gcda, 'bfd.h', 12.50, 16, 10.00, 20
./bfd/elf64.gcda, 'libbfd.h', 72.73, 11, 100.00, 8
./bfd/stabs.gcda, 'stabs.c', 0.00, 327, 0.00, 194
./bfd/stabs.gcda, 'bfd.h', 0.00, 2, 0.00, 8
./bfd/elf64-gen.gcda, 'elf64-gen.c', 0.00, 20, 0.00, 4
./bfd/cpu-i386.gcda, 'cpu-i386.c', 0.00, 33, 0.00, 14
./bfd/hash.gcda, 'hash.c', 28.80, 250, 25.76, 132
./bfd/merge.gcda, 'merge.c', 0.00, 338, 0.00, 222
./bfd/elf.gcda, 'elf.c', 9.45, 5757, 9.77, 4635
./bfd/elf.gcda, 'bfd.h', 24.53, 53, 8.26, 109
./bfd/elf.gcda, 'elf-bfd.h', 0.00, 9, 0.00, 6
./bfd/elf.gcda, 'libbfd.h', 72.73, 22, 100.00, 16
./bfd/binary.gcda, 'binary.c', 14.71, 102, 13.04, 46
./bfd/binary.gcda, 'bfd.h', 0.00, 2, 0.00, 0.00
./bfd/pe-x86_64.gcda, 'coffcode.h', 0.41, 982, 1.31, 610
./bfd/pe-x86_64.gcda, 'bfd.h', 0.00, 25, 0.00, 39
./bfd/pe-x86_64.gcda, 'peicode.h', 10.62, 113, 10.00, 40
./bfd/pe-x86_64.gcda, 'coff-x86_64.c', 0.00, 140, 0.00, 96
./bfd/pe-x86_64.gcda, 'libbfd.h', 0.00, 11, 0.00, 8
./bfd/pe-x86_64.gcda, 'pe-x86_64.c', 0.00, 10, 0.00, 6
./bfd/compress.gcda, 'compress.c', 16.27, 252, 17.95, 156
./bfd/compress.gcda, 'bfd.h', 22.22, 9, 0.00, 6
./bfd/init.gcda, 'init.c', 100.00, 2, 0.00, 0.00
./bfd/tekhex.gcda, 'tekhex.c', 6.89, 363, 6.33, 221
./bfd/tekhex.gcda, 'bfd.h', 0.00, 2, 0.00, 0.00
./bfd/elf32.gcda, 'elfcode.h', 2.76, 833, 2.89, 553
./bfd/elf32.gcda, 'elfcore.h', 0.00, 183, 0.00, 160
./bfd/elf32.gcda, 'bfd.h', 0.00, 16, 0.00, 20
./bfd/elf32.gcda, 'libbfd.h', 0.00, 11, 0.00, 8
./bfd/opncls.gcda, 'opncls.c', 11.94, 645, 15.62, 320
./bfd/opncls.gcda, 'bfd.h', 25.00, 12, 0.00, 12
./bfd/plugin.gcda, 'plugin.c', 15.60, 282, 21.21, 132
./bfd/plugin.gcda, 'bfd.h', 0.00, 4, 0.00, 6
./bfd/elf-strtab.gcda, 'elf-strtab.c', 0.00, 193, 0.00, 118
./bfd/elf-ifunc.gcda, 'elf-ifunc.c', 0.00, 136, 0.00, 124
./bfd/elf-ifunc.gcda, 'elf-bfd.h', 0.00, 2, 0.00, 4
./bfd/elf-ifunc.gcda, 'bfd.h', 0.00, 3, 0.00, 4
./bfd/pei-i386.gcda, 'coffcode.h', 0.00, 988, 0.00, 650
./bfd/pei-i386.gcda, 'bfd.h', 0.00, 36, 0.00, 42
./bfd/pei-i386.gcda, 'peicode.h', 3.82, 523, 6.73, 208
./bfd/pei-i386.gcda, 'coff-i386.c', 0.00, 106, 0.00, 85
./bfd/pei-i386.gcda, 'libbfd.h', 0.00, 11, 0.00, 8
./bfd/reloc.gcda, 'reloc.c', 0.00, 378, 0.00, 215
./bfd/reloc.gcda, 'bfd.h', 0.00, 22, 0.00, 34
./bfd/elf32-gen.gcda, 'elf32-gen.c', 0.00, 20, 0.00, 4
./bfd/cache.gcda, 'cache.c', 39.23, 181, 35.71, 140
./bfd/cache.gcda, 'bfd.h', 0.00, 4, 0.00, 2
./bfd/bfd.gcda, 'bfd.c', 17.57, 643, 23.51, 387
./bfd/bfd.gcda, 'bfd.h', 8.00, 25, 4.55, 44
./bfd/archive64.gcda, 'archive64.c', 0.00, 120, 0.00, 60
./bfd/archive64.gcda, 'bfd.h', 0.00, 4, 0.00, 2
./bfd/archive64.gcda, 'libbfd.h', 0.00, 11, 0.00, 8
./bfd/elf-attrs.gcda, 'elf-attrs.c', 0.00, 383, 0.00, 211
./bfd/elf-attrs.gcda, 'bfd.h', 0.00, 2, 0.00, 4
./bfd/archures.gcda, 'archures.c', 12.24, 196, 18.18, 154
./bfd/archures.gcda, 'bfd.h', 50.00, 4, 50.00, 4
./bfd/elf32-i386.gcda, 'elf32-i386.c', 0.00, 1561, 0.00, 1172
./bfd/elf32-i386.gcda, 'elf-bfd.h', 0.00, 6, 0.00, 24
./bfd/elf32-i386.gcda, 'bfd.h', 0.00, 11, 0.00, 20
./bfd/archive.gcda, 'archive.c', 1.53, 1173, 2.20, 728
./bfd/archive.gcda, 'bfd.h', 22.22, 18, 6.25, 64
./bfd/archive.gcda, 'libbfd.h', 0.00, 22, 0.00, 16
./bfd/libbfd.gcda, 'libbfd.c', 14.32, 405, 29.79, 94
./bfd/libbfd.gcda, 'bfd.h', 0.00, 4, 0.00, 4
./bfd/pei-x86_64.gcda, 'coffcode.h', 0.00, 987, 0.00, 644
./bfd/pei-x86_64.gcda, 'pei-x86_64.c', 0.00, 254, 0.00, 169
./bfd/pei-x86_64.gcda, 'bfd.h', 0.00, 36, 0.00, 43
./bfd/pei-x86_64.gcda, 'peicode.h', 3.80, 526, 6.60, 212
./bfd/pei-x86_64.gcda, 'coff-x86_64.c', 0.00, 140, 0.00, 96
./bfd/pei-x86_64.gcda, 'libbfd.h', 0.00, 11, 0.00, 8
./bfd/syms.gcda, 'syms.c', 15.79, 399, 21.82, 275
./bfd/syms.gcda, 'bfd.h', 66.67, 12, 66.67, 12
./bfd/dwarf2.gcda, 'dwarf2.c', 0.27, 1828, 0.16, 1255
./bfd/dwarf2.gcda, 'bfd.h', 0.00, 12, 0.00, 4
./bfd/elflink.gcda, 'elflink.c', 0.00, 6852, 0.00, 5446
./bfd/elflink.gcda, 'bfd.h', 0.00, 50, 0.00, 233
./bfd/elflink.gcda, 'elf-bfd.h', 0.00, 20, 0.00, 192
./bfd/elflink.gcda, 'libbfd.h', 0.00, 11, 0.00, 8
./bfd/simple.gcda, 'simple.c', 0.00, 107, 0.00, 24
./bfd/corefile.gcda, 'corefile.c', 0.00, 36, 0.00, 22
./bfd/corefile.gcda, 'bfd.h', 0.00, 2, 0.00, 2
./bfd/elf64-x86-64.gcda, 'elf64-x86-64.c', 0.38, 1824, 0.13, 1535
./bfd/elf64-x86-64.gcda, 'elf-bfd.h', 0.00, 6, 0.00, 34
./bfd/elf64-x86-64.gcda, 'bfd.h', 0.00, 13, 0.00, 26
./bfd/coffgen.gcda, 'coffgen.c', 1.61, 1246, 0.62, 975
./bfd/coffgen.gcda, 'bfd.h', 0.00, 28, 0.00, 138
./bfd/coffgen.gcda, 'libbfd.h', 36.36, 22, 50.00, 16
./bfd/verilog.gcda, 'verilog.c', 0.00, 114, 0.00, 52
./bfd/verilog.gcda, 'bfd.h', 0.00, 2, 0.00, 2
./bfd/elfxx-x86.gcda, 'elfxx-x86.c', 0.82, 1465, 0.35, 1147
./bfd/elfxx-x86.gcda, 'elf-bfd.h', 0.00, 16, 0.00, 52
./bfd/elfxx-x86.gcda, 'bfd.h', 0.00, 13, 0.00, 32
./bfd/cofflink.gcda, 'cofflink.c', 0.00, 1466, 0.00, 1103
./bfd/cofflink.gcda, 'bfd.h', 0.00, 32, 0.00, 79
./bfd/elf-eh-frame.gcda, 'elf-eh-frame.c', 0.00, 1135, 0.00, 1034
./bfd/elf-eh-frame.gcda, 'elf-bfd.h', 0.00, 2, 0.00, 20
./bfd/elf-eh-frame.gcda, 'bfd.h', 0.00, 4, 0.00, 12
./bfd/bfdio.gcda, 'bfdio.c', 26.89, 212, 37.50, 128
./bfd/bfdio.gcda, 'bfd.h', 0.00, 2, 0.00, 16
./binutils/bucomm.gcda, 'bucomm.c', 16.79, 268, 17.05, 129
./binutils/bucomm.gcda, '../bfd/bfd.h', 0.00, 6, 0.00, 10
./binutils/version.gcda, 'version.c', 0.00, 5, 0.00, 0.00
./binutils/filemode.gcda, 'filemode.c', 0.00, 35, 0.00, 42
./binutils/nm.gcda, 'nm.c', 45.47, 827, 46.95, 558
./binutils/nm.gcda, '../bfd/bfd.h', 58.62, 29, 45.16, 62
./zlib/libz_a-adler32.gcda, 'adler32.c', 0.00, 65, 0.00, 34
./zlib/libz_a-compress.gcda, 'compress.c', 0.00, 33, 0.00, 12
./zlib/libz_a-inflate.gcda, 'inflate.c', 0.00, 777, 0.00, 564
./zlib/libz_a-inflate.gcda, 'inffixed.h', 0.00, 2, 0.00, 2
./zlib/libz_a-inffast.gcda, 'inffast.c', 0.00, 177, 0.00, 68
./zlib/libz_a-crc32.gcda, 'crc32.c', 0.00, 74, 0.00, 60
./zlib/libz_a-trees.gcda, 'trees.c', 0.00, 332, 0.00, 224
./zlib/libz_a-deflate.gcda, 'deflate.c', 0.00, 886, 0.00, 732
./zlib/libz_a-zutil.gcda, 'zutil.c', 0.00, 23, 0.00, 0.00
./zlib/libz_a-inftrees.gcda, 'inftrees.c', 0.00, 125, 0.00, 65
directory, /home/ubuntu/configuration-fuzzer/afl-targets/binutils
total_no_of_statements, 53936
total_statement_coverage_%, 10.51%
total_no_of_branches, 38521
total_branch_coverage_%, 9.24%
