filepath, filename, statement coverage %, total statements, branch coverage %, total branches
./src/pr.gcda, 'src/pr.c', 91.08, 942, 96.17, 679
./src/pr.gcda, 'src/system.h', 4.00, 25, 14.29, 14
./src/pr.gcda, 'lib/stat-time.h', 100.00, 2, 0.00, 0.00
./lib/xstrtoumax.gcda, 'lib/xstrtol.c', 37.68, 69, 20.45, 88
./lib/xstrtoimax.gcda, 'lib/xstrtol.c', 25.00, 64, 11.32, 106
./lib/hard-locale.gcda, 'lib/hard-locale.c', 0.00, 4, 0.00, 6
./lib/fadvise.gcda, 'lib/fadvise.c', 85.71, 7, 100.00, 2
./lib/free.gcda, 'lib/stdlib.h', 100.00, 1, 0.00, 0.00
./lib/free.gcda, 'lib/free.c', 100.00, 7, 0.00, 0.00
./lib/xstrtol.gcda, 'lib/xstrtol.c', 25.00, 64, 11.32, 106
./lib/setlocale_null.gcda, 'lib/setlocale_null.c', 0.00, 21, 0.00, 8
./lib/quotearg.gcda, 'lib/quotearg.c', 20.93, 387, 27.64, 322
./lib/quotearg.gcda, 'lib/c-strcaseeq.h', 60.53, 38, 60.71, 56
./lib/quotearg.gcda, 'lib/c-ctype.h', 100.00, 3, 60.00, 20
./lib/fflush.gcda, 'lib/stdio.h', 100.00, 1, 100.00, 2
./lib/fflush.gcda, 'lib/fflush.c', 85.71, 7, 100.00, 6
./lib/xmalloc.gcda, 'lib/xmalloc.c', 28.40, 81, 15.79, 76
./lib/xmalloc.gcda, 'lib/ialloc.h', 0.00, 13, 0.00, 14
./lib/xmalloc.gcda, 'lib/xalloc.h', 0.00, 2, 0.00, 0.00
./lib/localcharset.gcda, 'lib/localcharset.c', 75.00, 8, 100.00, 4
./lib/close-stream.gcda, 'lib/close-stream.c', 62.50, 8, 40.00, 10
./lib/fopen-safer.gcda, 'lib/fopen-safer.c', 29.41, 17, 40.00, 10
./lib/mbswidth.gcda, 'lib/mbswidth.c', 58.62, 58, 52.63, 38
./lib/version-etc.gcda, 'lib/version-etc.c', 0.00, 58, 0.00, 23
./lib/fclose.gcda, 'lib/stdio.h', 100.00, 1, 0.00, 0.00
./lib/fclose.gcda, 'lib/fclose.c', 69.23, 13, 100.00, 10
./lib/gettime.gcda, 'lib/gettime.c', 42.86, 7, 0.00, 0.00
./lib/xstrtol-error.gcda, 'lib/xstrtol-error.c', 0.00, 25, 0.00, 6
./lib/progname.gcda, 'lib/progname.c', 62.50, 16, 80.00, 10
./lib/imaxtostr.gcda, 'lib/anytostr.c', 0.00, 12, 0.00, 6
./lib/fcntl.gcda, 'lib/fcntl.c', 0.00, 51, 0.00, 22
./lib/dup-safer.gcda, 'lib/dup-safer.c', 0.00, 2, 0.00, 0.00
./lib/mbrtowc.gcda, 'lib/wchar.h', 100.00, 1, 100.00, 2
./lib/mbrtowc.gcda, 'lib/mbrtowc.c', 55.56, 9, 66.67, 6
./lib/time_rz.gcda, 'lib/time.h', 75.00, 4, 60.00, 10
./lib/time_rz.gcda, 'lib/time_rz.c', 59.18, 98, 59.09, 88
./lib/closeout.gcda, 'lib/closeout.c', 23.53, 17, 40.00, 10
./lib/nstrftime.gcda, 'lib/nstrftime.c', 51.70, 412, 58.02, 393
./lib/xalloc-die.gcda, 'lib/xalloc-die.c', 0.00, 3, 0.00, 0.00
./lib/fseeko.gcda, 'lib/fseeko.c', 0.00, 10, 0.00, 8
./lib/xdectoimax.gcda, 'lib/xdectoint.c', 71.43, 21, 80.00, 20
directory, /home/ubuntu/configuration-fuzzer/afl-targets/coreutils
total_no_of_statements, 2589
total_statement_coverage_%, 46.36%
total_no_of_branches, 2181
total_branch_coverage_%, 36.44%
