filepath, filename, statement coverage %, total statements, branch coverage %, total branches
./src/ptx.gcda, 'src/ptx.c', 94.48, 707, 97.16, 563
./src/ptx.gcda, 'src/system.h', 4.55, 22, 84.62, 78
./lib/malloca.gcda, 'lib/malloca.c', 0.00, 22, 0.00, 8
./lib/xstrtoimax.gcda, 'lib/xstrtol.c', 25.00, 64, 11.32, 106
./lib/mbslen.gcda, 'lib/string.h', 0.00, 1, 0.00, 0.00
./lib/mbslen.gcda, 'lib/mbslen.c', 0.00, 8, 0.00, 6
./lib/hard-locale.gcda, 'lib/hard-locale.c', 100.00, 4, 100.00, 6
./lib/read-file.gcda, 'lib/read-file.c', 49.30, 71, 64.00, 50
./lib/striconv.gcda, 'lib/striconv.c', 0.00, 140, 0.00, 68
./lib/free.gcda, 'lib/stdlib.h', 100.00, 1, 0.00, 0.00
./lib/free.gcda, 'lib/free.c', 100.00, 7, 0.00, 0.00
./lib/setlocale_null.gcda, 'lib/setlocale_null.c', 57.14, 21, 50.00, 8
./lib/quotearg.gcda, 'lib/quotearg.c', 53.49, 387, 60.87, 322
./lib/quotearg.gcda, 'lib/c-strcaseeq.h', 60.53, 38, 60.71, 56
./lib/quotearg.gcda, 'lib/c-ctype.h', 100.00, 3, 60.00, 20
./lib/xstriconv.gcda, 'lib/xstriconv.c', 0.00, 15, 0.00, 12
./lib/strnlen1.gcda, 'lib/strnlen1.c', 0.00, 4, 0.00, 2
./lib/fflush.gcda, 'lib/stdio.h', 100.00, 1, 100.00, 2
./lib/fflush.gcda, 'lib/fflush.c', 85.71, 7, 100.00, 6
./lib/regex.gcda, 'lib/regexec.c', 41.64, 1520, 46.21, 1268
./lib/regex.gcda, 'lib/regex_internal.h', 88.57, 35, 79.17, 48
./lib/regex.gcda, 'lib/regcomp.c', 69.54, 1369, 78.04, 1020
./lib/regex.gcda, 'lib/regex_internal.c', 60.83, 817, 62.10, 628
./lib/regex.gcda, 'lib/malloc/dynarray-skeleton.c', 61.76, 34, 44.44, 18
./lib/regex.gcda, 'lib/malloc/dynarray.h', 0.00, 2, 0.00, 0.00
./lib/mbsstr.gcda, 'lib/string.h', 0.00, 1, 0.00, 0.00
./lib/mbsstr.gcda, 'lib/mbsstr.c', 0.00, 137, 0.00, 134
./lib/mbsstr.gcda, 'lib/str-kmp.h', 0.00, 39, 0.00, 20
./lib/xmalloc.gcda, 'lib/xmalloc.c', 25.93, 81, 15.79, 76
./lib/xmalloc.gcda, 'lib/ialloc.h', 0.00, 13, 0.00, 14
./lib/xmalloc.gcda, 'lib/xalloc.h', 0.00, 2, 0.00, 0.00
./lib/localcharset.gcda, 'lib/localcharset.c', 75.00, 8, 100.00, 4
./lib/close-stream.gcda, 'lib/close-stream.c', 62.50, 8, 40.00, 10
./lib/propername.gcda, 'lib/propername.c', 0.00, 114, 0.00, 94
./lib/version-etc.gcda, 'lib/version-etc.c', 0.00, 58, 0.00, 23
./lib/fclose.gcda, 'lib/stdio.h', 100.00, 1, 0.00, 0.00
./lib/fclose.gcda, 'lib/fclose.c', 69.23, 13, 100.00, 10
./lib/progname.gcda, 'lib/progname.c', 62.50, 16, 80.00, 10
./lib/mbchar.gcda, 'lib/mbchar.h', 0.00, 15, 0.00, 6
./lib/freopen-safer.gcda, 'lib/freopen-safer.c', 52.63, 38, 58.82, 34
./lib/mbrtowc.gcda, 'lib/wchar.h', 100.00, 1, 100.00, 2
./lib/mbrtowc.gcda, 'lib/mbrtowc.c', 55.56, 9, 100.00, 6
./lib/trim.gcda, 'lib/trim.c', 0.00, 41, 0.00, 60
./lib/closeout.gcda, 'lib/closeout.c', 23.53, 17, 40.00, 10
./lib/argmatch.gcda, 'lib/argmatch.c', 25.49, 51, 26.67, 30
./lib/c-strcasecmp.gcda, 'lib/c-strcasecmp.c', 0.00, 14, 0.00, 10
./lib/c-strcasecmp.gcda, 'lib/c-ctype.h', 0.00, 4, 0.00, 4
./lib/xalloc-die.gcda, 'lib/xalloc-die.c', 0.00, 3, 0.00, 0.00
./lib/fseeko.gcda, 'lib/fseeko.c', 0.00, 10, 0.00, 8
./lib/malloc/dynarray_resize.gcda, 'lib/malloc/dynarray_resize.c', 21.05, 19, 16.67, 12
directory, /home/ubuntu/configuration-fuzzer/afl-targets/coreutils
total_no_of_statements, 6013
total_statement_coverage_%, 38.52%
total_no_of_branches, 4872
total_branch_coverage_%, 35.53%
