filepath, filename, statement coverage %, total statements, branch coverage %, total branches
./libiberty/unlink-if-ordinary.gcda, 'unlink-if-ordinary.c', 100.00, 5, 100.00, 4
./libiberty/argv.gcda, 'argv.c', 10.43, 163, 3.77, 106
./libiberty/concat.gcda, 'concat.c', 0.00, 58, 0.00, 10
./libiberty/cp-demangle.gcda, 'cp-demangle.c', 0.00, 2352, 0.00, 1647
./libiberty/getpwd.gcda, 'getpwd.c', 0.00, 22, 0.00, 22
./libiberty/hashtab.gcda, 'hashtab.c', 35.69, 339, 29.63, 162
./libiberty/rust-demangle.gcda, 'rust-demangle.c', 0.00, 729, 0.00, 708
./libiberty/lrealpath.gcda, 'lrealpath.c', 0.00, 6, 0.00, 2
./libiberty/make-relative-prefix.gcda, 'make-relative-prefix.c', 0.00, 140, 0.00, 94
./libiberty/make-temp-file.gcda, 'make-temp-file.c', 88.46, 52, 70.00, 40
./libiberty/lbasename.gcda, 'lbasename.c', 0.00, 16, 0.00, 16
./libiberty/xmalloc.gcda, 'xmalloc.c', 64.86, 37, 75.00, 16
./libiberty/filename_cmp.gcda, 'filename_cmp.c', 8.70, 23, 0.00, 4
./libiberty/xexit.gcda, 'xexit.c', 0.00, 4, 0.00, 2
./libiberty/objalloc.gcda, 'objalloc.c', 66.67, 96, 69.57, 46
./libiberty/xstrdup.gcda, 'xstrdup.c', 0.00, 4, 0.00, 0.00
./libiberty/cplus-dem.gcda, 'cplus-dem.c', 0.00, 155, 0.00, 140
./libiberty/d-demangle.gcda, 'd-demangle.c', 0.00, 915, 0.00, 532
./libiberty/cp-demint.gcda, 'cp-demint.c', 0.00, 64, 0.00, 43
./libiberty/hex.gcda, 'hex.c', 100.00, 2, 0.00, 0.00
./libiberty/xstrndup.gcda, 'xstrndup.c', 0.00, 6, 0.00, 0.00
./libiberty/xstrerror.gcda, 'xstrerror.c', 71.43, 7, 100.00, 2
./bfd/srec.gcda, 'srec.c', 7.04, 554, 7.19, 306
./bfd/srec.gcda, 'bfd.h', 0.00, 8, 0.00, 4
