filepath, filename, statement coverage %, total statements, branch coverage %, total branches
./src/roff/troff/node.gcda, 'src/roff/troff/node.cpp', 60.22, 3464, 60.23, 1984
./src/roff/troff/node.gcda, 'src/roff/troff/env.h', 100.00, 16, 86.36, 44
./src/roff/troff/node.gcda, 'src/roff/troff/charinfo.h', 74.63, 67, 80.73, 109
./src/roff/troff/node.gcda, 'src/roff/troff/node.h', 75.86, 29, 50.00, 24
./src/roff/troff/node.gcda, 'src/include/cset.h', 100.00, 2, 100.00, 2
./src/roff/troff/node.gcda, 'src/roff/troff/reg.h', 100.00, 1, 100.00, 4
./src/roff/troff/node.gcda, 'src/roff/troff/hvunits.h', 83.96, 106, 49.44, 178
./src/roff/troff/node.gcda, 'src/include/symbol.h', 100.00, 10, 80.00, 40
./src/roff/troff/node.gcda, 'src/roff/troff/token.h', 0.00, 8, 0.00, 8
./src/roff/troff/node.gcda, 'src/include/stringclass.h', 70.00, 10, 30.00, 40
./src/roff/troff/node.gcda, 'src/include/assert.h', 50.00, 4, 76.47, 34
./src/roff/troff/node.gcda, 'src/roff/troff/div.h', 100.00, 1, 100.00, 2
./src/roff/troff/mtsm.gcda, 'src/roff/troff/mtsm.cpp', 7.89, 393, 4.83, 414
./src/roff/troff/mtsm.gcda, 'src/include/stringclass.h', 0.00, 12, 0.00, 22
./src/roff/troff/mtsm.gcda, 'src/roff/troff/mtsm.h', 0.00, 1, 0.00, 6
./src/roff/troff/mtsm.gcda, 'src/roff/troff/hvunits.h', 0.00, 9, 0.00, 12
./src/roff/troff/reg.gcda, 'src/roff/troff/reg.cpp', 28.36, 268, 31.67, 120
./src/roff/troff/reg.gcda, 'src/include/cset.h', 0.00, 2, 0.00, 4
./src/roff/troff/reg.gcda, 'src/roff/troff/reg.h', 100.00, 1, 75.00, 8
./src/roff/troff/reg.gcda, 'src/include/symbol.h', 66.67, 6, 12.50, 16
./src/roff/troff/reg.gcda, 'src/roff/troff/dictionary.h', 0.00, 2, 0.00, 0.00
./src/roff/troff/reg.gcda, 'src/include/assert.h', 0.00, 4, 0.00, 2
./src/roff/troff/reg.gcda, 'src/roff/troff/token.h', 25.00, 8, 20.00, 10
./src/roff/troff/number.gcda, 'src/roff/troff/number.cpp', 76.80, 431, 83.57, 347
./src/roff/troff/number.gcda, 'src/include/cset.h', 100.00, 2, 100.00, 4
./src/roff/troff/number.gcda, 'src/roff/troff/hvunits.h', 21.43, 28, 100.00, 6
./src/roff/troff/number.gcda, 'src/include/assert.h', 50.00, 4, 100.00, 2
./src/roff/troff/number.gcda, 'src/roff/troff/token.h', 100.00, 10, 100.00, 46
./src/roff/troff/number.gcda, 'src/roff/troff/div.h', 100.00, 1, 0.00, 0.00
./src/roff/troff/number.gcda, 'src/roff/troff/env.h', 100.00, 1, 0.00, 0.00
./src/roff/troff/div.gcda, 'src/roff/troff/div.cpp', 25.96, 678, 27.63, 456
./src/roff/troff/div.gcda, 'src/roff/troff/hvunits.h', 73.68, 38, 27.08, 96
./src/roff/troff/div.gcda, 'src/roff/troff/node.h', 66.67, 6, 0.00, 0.00
./src/roff/troff/div.gcda, 'src/roff/troff/div.h', 18.18, 11, 0.00, 4
./src/roff/troff/div.gcda, 'src/roff/troff/reg.h', 100.00, 1, 100.00, 22
./src/roff/troff/div.gcda, 'src/include/symbol.h', 0.00, 7, 0.00, 32
./src/roff/troff/div.gcda, 'src/roff/troff/token.h', 0.00, 6, 0.00, 22
./src/roff/troff/dictionary.gcda, 'src/roff/troff/dictionary.cpp', 79.82, 114, 82.22, 90
./src/roff/troff/dictionary.gcda, 'src/include/symbol.h', 100.00, 9, 100.00, 8
./src/roff/troff/dictionary.gcda, 'src/roff/troff/dictionary.h', 100.00, 1, 0.00, 0.00
./src/roff/troff/input.gcda, 'src/roff/troff/input.cpp', 62.61, 5472, 65.31, 5068
./src/roff/troff/input.gcda, 'src/include/cset.h', 100.00, 2, 87.50, 32
./src/roff/troff/input.gcda, 'src/include/cmap.h', 100.00, 2, 0.00, 0.00
./src/roff/troff/input.gcda, 'src/include/symbol.h', 100.00, 12, 67.27, 275
./src/roff/troff/input.gcda, 'src/roff/troff/request.h', 100.00, 1, 0.00, 0.00
./src/roff/troff/input.gcda, 'src/roff/troff/reg.h', 100.00, 1, 100.00, 34
./src/roff/troff/input.gcda, 'src/roff/troff/charinfo.h', 41.94, 31, 23.53, 34
./src/roff/troff/input.gcda, 'src/include/assert.h', 50.00, 4, 36.11, 72
./src/roff/troff/input.gcda, 'src/roff/troff/div.h', 83.33, 6, 66.67, 6
./src/roff/troff/input.gcda, 'src/roff/troff/hvunits.h', 77.27, 22, 81.25, 32
./src/roff/troff/input.gcda, 'src/roff/troff/token.h', 92.31, 39, 58.99, 434
./src/roff/troff/input.gcda, 'src/roff/troff/env.h', 100.00, 13, 100.00, 30
./src/roff/troff/input.gcda, 'src/include/stringclass.h', 100.00, 7, 27.16, 162
./src/roff/troff/input.gcda, 'src/include/lib.h', 100.00, 2, 61.90, 42
./src/roff/troff/input.gcda, 'src/roff/troff/node.h', 75.00, 16, 100.00, 14
./src/roff/troff/input.gcda, 'src/roff/troff/dictionary.h', 0.00, 2, 0.00, 0.00
./src/roff/troff/input.gcda, 'src/include/color.h', 100.00, 1, 50.00, 8
./src/roff/troff/env.gcda, 'src/roff/troff/env.cpp', 42.55, 2498, 48.20, 1838
./src/roff/troff/env.gcda, 'src/include/cset.h', 100.00, 2, 83.33, 12
./src/roff/troff/env.gcda, 'src/roff/troff/reg.h', 100.00, 1, 100.00, 88
./src/roff/troff/env.gcda, 'src/include/symbol.h', 90.00, 10, 50.00, 36
./src/roff/troff/env.gcda, 'src/include/assert.h', 50.00, 4, 66.67, 18
./src/roff/troff/env.gcda, 'src/roff/troff/token.h', 75.00, 8, 13.89, 72
./src/roff/troff/env.gcda, 'src/roff/troff/charinfo.h', 0.00, 4, 0.00, 4
./src/roff/troff/env.gcda, 'src/roff/troff/hvunits.h', 55.56, 81, 39.32, 117
./src/roff/troff/env.gcda, 'src/roff/troff/env.h', 7.14, 14, 100.00, 2
./src/roff/troff/env.gcda, 'src/include/stringclass.h', 0.00, 7, 0.00, 8
./src/roff/troff/env.gcda, 'src/roff/troff/node.h', 72.73, 11, 100.00, 2
./src/roff/troff/env.gcda, 'src/roff/troff/div.h', 100.00, 1, 0.00, 0.00
./src/roff/troff/env.gcda, 'src/include/lib.h', 0.00, 2, 0.00, 2
./src/libs/libgroff/libgroff_a-fontfile.gcda, 'src/libs/libgroff/fontfile.cpp', 100.00, 9, 0.00, 0.00
./src/libs/libgroff/libgroff_a-searchpath.gcda, 'src/libs/libgroff/searchpath.cpp', 84.80, 125, 89.47, 114
./src/libs/libgroff/libgroff_a-searchpath.gcda, 'src/include/assert.h', 66.67, 3, 100.00, 2
./src/libs/libgroff/libgroff_a-cset.gcda, 'src/libs/libgroff/cset.cpp', 60.00, 40, 81.25, 64
./src/libs/libgroff/libgroff_a-paper.gcda, 'src/libs/libgroff/paper.cpp', 100.00, 38, 100.00, 4
./src/libs/libgroff/libgroff_a-errarg.gcda, 'src/libs/libgroff/errarg.cpp', 77.27, 66, 100.00, 25
./src/libs/libgroff/libgroff_a-errarg.gcda, 'src/include/assert.h', 50.00, 4, 100.00, 8
./src/libs/libgroff/libgroff_a-symbol.gcda, 'src/libs/libgroff/symbol.cpp', 97.30, 74, 100.00, 48
./src/libs/libgroff/libgroff_a-symbol.gcda, 'src/include/symbol.h', 100.00, 2, 0.00, 0.00
./src/libs/libgroff/libgroff_a-getopt1.gcda, 'src/libs/libgroff/getopt1.c', 25.00, 8, 0.00, 0.00
./src/libs/libgroff/libgroff_a-uniuni.gcda, 'src/libs/libgroff/uniuni.cpp', 100.00, 11, 100.00, 4
./src/libs/libgroff/libgroff_a-uniuni.gcda, 'src/include/assert.h', 66.67, 3, 66.67, 6
./src/libs/libgroff/libgroff_a-strsave.gcda, 'src/libs/libgroff/strsave.cpp', 100.00, 5, 100.00, 2
./src/libs/libgroff/libgroff_a-new.gcda, 'src/libs/libgroff/new.cpp', 61.90, 21, 75.00, 8
./src/libs/libgroff/libgroff_a-string.gcda, 'src/libs/libgroff/string.cpp', 30.43, 207, 21.62, 148
./src/libs/libgroff/libgroff_a-string.gcda, 'src/include/stringclass.h', 0.00, 4, 0.00, 0.00
./src/libs/libgroff/libgroff_a-string.gcda, 'src/include/assert.h', 0.00, 3, 0.00, 6
./src/libs/libgroff/libgroff_a-color.gcda, 'src/libs/libgroff/color.cpp', 20.78, 231, 25.35, 71
./src/libs/libgroff/libgroff_a-color.gcda, 'src/include/cset.h', 100.00, 2, 100.00, 6
./src/libs/libgroff/libgroff_a-color.gcda, 'src/include/assert.h', 0.00, 4, 0.00, 0.00
./src/libs/libgroff/libgroff_a-color.gcda, 'src/include/symbol.h', 0.00, 1, 0.00, 0.00
./src/libs/libgroff/libgroff_a-geometry.gcda, 'src/libs/libgroff/geometry.cpp', 0.00, 60, 0.00, 35
./src/libs/libgroff/libgroff_a-getopt.gcda, 'src/libs/libgroff/getopt.c', 22.41, 241, 34.69, 196
./src/libs/libgroff/libgroff_a-itoa.gcda, 'src/libs/libgroff/itoa.c', 100.00, 23, 100.00, 8
./src/libs/libgroff/libgroff_a-iftoa.gcda, 'src/libs/libgroff/iftoa.c', 0.00, 29, 0.00, 18
./src/libs/libgroff/libgroff_a-curtime.gcda, 'src/libs/libgroff/curtime.cpp', 26.67, 15, 14.29, 14
./src/libs/libgroff/libgroff_a-ptable.gcda, 'src/libs/libgroff/ptable.cpp', 93.75, 16, 100.00, 10
./src/libs/libgroff/libgroff_a-ptable.gcda, 'src/include/assert.h', 66.67, 3, 100.00, 2
./src/libs/libgroff/libgroff_a-unicode.gcda, 'src/libs/libgroff/unicode.cpp', 86.36, 22, 91.67, 24
./src/libs/libgroff/libgroff_a-unicode.gcda, 'src/include/cset.h', 100.00, 2, 100.00, 6
./src/libs/libgroff/libgroff_a-glyphuni.gcda, 'src/libs/libgroff/glyphuni.cpp', 100.00, 11, 100.00, 4
./src/libs/libgroff/libgroff_a-glyphuni.gcda, 'src/include/assert.h', 66.67, 3, 66.67, 6
./src/libs/libgroff/libgroff_a-device.gcda, 'src/libs/libgroff/device.cpp', 0.00, 5, 0.00, 2
./src/libs/libgroff/libgroff_a-font.gcda, 'src/libs/libgroff/font.cpp', 72.11, 753, 67.91, 832
./src/libs/libgroff/libgroff_a-font.gcda, 'src/include/cset.h', 100.00, 2, 100.00, 8
./src/libs/libgroff/libgroff_a-font.gcda, 'src/include/font.h', 100.00, 4, 92.86, 28
./src/libs/libgroff/libgroff_a-font.gcda, 'src/include/assert.h', 50.00, 4, 86.67, 30
./src/libs/libgroff/libgroff_a-font.gcda, 'src/include/lib.h', 100.00, 2, 100.00, 4
./src/libs/libgroff/libgroff_a-assert.gcda, 'src/libs/libgroff/assert.cpp', 0.00, 6, 0.00, 2
./src/libs/libgroff/libgroff_a-cmap.gcda, 'src/libs/libgroff/cmap.cpp', 46.15, 13, 85.71, 14
./src/libs/libgroff/libgroff_a-uniglyph.gcda, 'src/libs/libgroff/uniglyph.cpp', 100.00, 11, 100.00, 4
./src/libs/libgroff/libgroff_a-uniglyph.gcda, 'src/include/assert.h', 66.67, 3, 66.67, 6
./lib/vasnprintf.gcda, 'lib/vasnprintf.c', 40.78, 255, 37.46, 283
./lib/vasnprintf.gcda, 'lib/xsize.h', 71.43, 7, 46.67, 30
./lib/fseterr.gcda, 'lib/fseterr.c', 0.00, 3, 0.00, 0.00
./lib/printf-args.gcda, 'lib/printf-args.c', 22.67, 75, 93.10, 29
./lib/printf-parse.gcda, 'lib/printf-parse.c', 44.00, 225, 45.45, 231
./lib/printf-parse.gcda, 'lib/xsize.h', 0.00, 3, 0.00, 12
./lib/fprintf.gcda, 'lib/fprintf.c', 57.69, 26, 80.00, 10
directory, /home/ubuntu/configuration-fuzzer/afl-targets/groff
total_no_of_statements, 16731
total_statement_coverage_%, 59.71%
total_no_of_branches, 15024
total_branch_coverage_%, 51.88%
